"Pregunta","Tipo de Respuesta","Opción 1","Opción 2","Opción 3","Opción 4","Opción 5","Correcta 1","Correcta 2","Correcta 3","Correcta 4","Correcta 5"
"Cuáles de las siguientes son características de las regiones y zonas de disponibilidad de AWS? SELECCIONE DOS","Respuesta múltiple","A Las regiones llevan los servicios de AWS a las instalaciones locales","B Las regiones constan de varias zonas  de disponibilidad","C Una zona de disponibilidad contiene varias regiones","D Las regiones están a menos de 100 Km (60 millas) una de la otra.","E Las regiones se encuentran en todo el mundo","false","true","false","false","true"
"Según el modelo de responsabilidad compartida en AWS ¿qué tarea es responsabilidad de AWS para las cargas de trabajo que se ejecutan en Amazon EC2?","Respuesta única","A Actualización del hardware físico","B Actualización del sistema operativo","C Actualización del motor de base de datos","D Actualización de los datos de usuario.","","true","false","false","false","false"
"qué tareas son responsabilidad del cliente  según el modelo de responsabilidad compartida de AWS? SELECCIONE DOS","Respuesta múltiple","A Aplique parches al sistema operativo invitado","B proteja físicamente el hardware del centro de datos","C parche el hardware de red","D Configure el firewall","E Retirar dispositivos de almacenamiento obsoletos.","true","false","false","true","false"
"qué servicio de AWS se debe utilizar para monitorizar instancias Amazon EC2 para el uso de CPU y red?","Respuesta única","A Amazon Inspector","B  AWS CloudTrail","C  Amazon CloudWatch","D  Configuración de AWS","","false","false","true","false","false"
"Una empresa tiene una instancia amazon EC2 que debe obtener a AWS Secrets Manager para recuperar credenciales. ¿Qué identidad o servicio requiere EC2 para realizar la tarea?","Respuesta única","A Autenticación multifactor MFA","B Rol de IAM","C Grupo de IAM","D Grupos de Seguridad","","false","true","false","false","false"
"qué servicios o características de AWS pueden controlar el tráfico de VPC? SELECCIONE DOS","Respuesta múltiple","A Grupos de seguridad","B AWS Direct COnnect","C Amazon GuardDuty","D ACL de red","E amazon Connect","true","false","false","true","false"
"Una empresa no posee un centro de datos físico  pero necesita una solución de red que conecte las computadoras portátiles de los empleados directamente a la nube de AWS","Respuesta única","Qué servicio de AWS cumplirá este requisito?","A Puestos avanzados de AWS","B VPN de cliente de AWS","C AWS Snowball Edge","D Amazon CloudFront","false","false","true","false","false"
"Una empresa está lanzando una nueva aplicación en la nube AWS. La aplicación se ejecutará en una instancia Amazon EC2. se necesitarán más instancias EC2 cuando aumente la carga de trabajo.¿ que servicio o herramienta de AWS puede utilizar para lanzar el número de instancias EC2 que se necesitarán para gestionar la carga de trabajo?","Respuesta única","A Elastic Load Balancing ELB","B amazon EC2 Auto Scaling","C AWS App2Container (A2C)","D Administrador de sistemas de AWS","","false","true","false","false","false"
"Cuál es el beneficio de pasar a la nube de AWS en términos de mejorar el tiempo de comercialización?","Respuesta única","A Disminución de la velocidad de implementación","B Mayor seguridad de las aplicaciones","C Mayor agilidad empresarial","D Mayores capacidades de backup","","false","false","true","false","false"
"Un profesional de la nube está desarrollando un plan de recuperación de desastres y tiene la intención de replicar datos entre múltiples áreas geográficas ¡que componente de la nube de AWS debe utilizar la empresa para cumplir estos requisitos?","Respuesta única","A Cuentas de AWS","B Regiones de AWS","C ZOnas de disponibilidad","D Ubicaciones perimetrales","","false","true","false","false","false"
"Una empresa desea alojar sus bases de datos relacionales en AWS. Las bases de datos tienen esquemas predefinidos que la empresa necesita replicar en AWS. ¿Qué servicios de AWS podría utilizar la empresa para las bases de datos? SELECCIONE DOS","Respuesta múltiple","A Amazon Aurora","B Amazon RDS","C Amazon DocumentDB (compatible con MongoDB)","D Neptuno Amazónico","E Amazon DynamoDB","true","true","false","false","false"
"Una empresa tiene licencias de software existentes que desea incorporar a AWS  pero el modelo de licencias requiere licencias de núcleos físicos. ¿Cómo puede la empresa cumplir este requisito en la nube de AWS?","Respuesta única","A Lance una instancia Amazon EC2 con arrendamiento predeterminado","B Lance una instancia Amazon EC2 en un host dedicado","C Cree una reserva de capacidad bajo demanda","D Compre instancias reservadas dedicadas.","","false","true","false","false","false"
"Después de seleccionar una reserva de host dedicado de Amazon EC2  ¿qué opción de precios proporciona el mayor descuento?","Respuesta única","A Sin pago por adelantado","B Pago bajo demanda por hora","C Pago parcial por adelantado","D Todo el pago por adelantado","","false","false","false","true","false"
"Una empresa necesita auditar sus recursos de AWS. la empresa debe documentar cualquier cambio que se haya realizado en los recursos. ¿Qué servicio de AWS cumplirá estos requisitos?","Respuesta única","A Artefacto de AWS","B Configuración de AWS","C Amazon inspector","D Amazon Cloud Watch","","false","true","false","false","false"
"qué responsabilidad se comparte entre el usuario y AWS?","Respuesta única","A Proporcionar una clave para el cifrado del lado del cliente de Amazon S3","B COnfiguración de una instancia Amazon EC2","C Controle el entorno de los centros de datos físicos de AWS","D Proporcionar sensibilización y formación","","false","false","false","true","false"
"Una aplicación está recibiendo ataques de inyección de SQL de varios recursos externos. ¿Qué servicio o característica de AWS puede ayudar a automatizar la mitigación contra estos ataques?","Respuesta única","A AWS WAF","B Grupos de seguridad","C Elastic load Balancing ELB","D ACL de red","","true","false","false","false","false"
"Qué principio de diseño de arquitectura se aplica al concepto de ajustar el tamaño de la infraestructura de la nube de AWS?","Respuesta única","A Escale horizontalmente para aumentar la disponibilidad de la carga de trabajo","B Optimice los costes","C Haga cambios frecuentes  pequeños y reversibles","D  Realizar operaciones como código.","","false","true","false","false","false"
"Una empresa necesita acceso a ingenieros de soporte en la nube las 24 horas del día  los 7 días de la semana. ¿Cuál es el plan de AWS Support MENOS costos que cumple con este requisito?","Respuesta única","A  Soporte básico de AWS","B Soporte empresarial de AWS","C Soporte para desarrolladores de AWS","D Soporte para empresas de AWS","","false","true","false","false","false"
"Una empresa minorista en línea tiene picos de ventas estacionales varias veces al año  principalmente durante los días festivos. La demanda es menor en otros momentos. A la compañía le resulta difícil predecir la creciente demanda de infraestructura para cada temporada.  qué ventajas de migrar a la nube de AWS beneficiario MÁS  a la empresa  SELECCIONE DOS","Respuesta múltiple","A Presencia global","B Elasticidad","C Cuotas de servicio de AWS","D Modelo de responsabilidad compartida de AWS","E Precios de pago por uso","false","true","false","false","true"
"qué servicio o herramienta de AWS puede utilizar una empresa para visualizar   comprender y administrar el gasto y uso de AWS a lo largo del tiempo?","Respuesta única","A AWS Trusted Advisor","B Amazon CloudWatch","C Explorador de costos de AWS","D Presupuestos de AWS","","false","false","true","false","false"
"Una empresa desea asegurarse de que dos instancias Amazon EC2 estén en centros de datos independientes con una latencia de comunicación mínima entre los centros de datos. ¿Cómo puede la empresa cumplir con este requisito?","Respuesta única","A  Coloque las instancias EC2 en dos regiones de AWS independientes conectadas con una conexión de interconexión de VPC","B Coloque las instancias EC2 en dos zonas de disponibilidad independientes dentro de la misma región AWS","C Coloque una instancia EC2 en las instalaciones y la otra en una región de AWS. A continuación  conéctelos mediante una conexión de VPN de AWS","D Coloque ambas instancias EC2 en un grupo de ubicación para el ancho de banda dedicado","","false","true","false","false","false"
"A un desarrollador web le preocupa que un ataque DDoS pueda apuntar a una aplicación. ¿qué servicios o características de AWS pueden ayudar a protegerse contra una ataque de este tipo? SELECCIONE DOS","Respuesta múltiple","A Escudo de AWS","B AWS Cloud Trial","C Amazon CloudFront","D Soporte de AWS","E Panel de estado de AWS","true","false","true","false","false"
"Que servicio de AWS puede alojar un sitio web estático?","Respuesta única","A  Amazon S3","B Amazon Route53","C Amazon QuickSight","D Rayos X AWS","","true","false","false","false","false"
"cual de las siguientes opciones ayudará a un usuario a determinar si necesita solicitar un aumento del limite de servicio de VOC?","Respuesta única","A Panel de estado de AWS","B AWS Trusted Advisor","C Informe de uso y costos de AWS","D Catálogo de servicios de AWS","","false","true","false","false","false"
"Cual es un ejemplo de alta disponibilidad en la nube de AWS?","Respuesta única","A COnsultar el soporte técnico de AWS en cualquier momento del dia","B Garantizar que una aplicación permanezca accesible  incluso si se produce un error en un recurso","C Hacer que cualquier servicio de AWS esté disponible para su uso mediante el pago bajo demanda","D Implementacion en cualquier parte dle mundo mediante AWS Regions","","false","true","false","false","false"
"qué servicio de AWS puede generar un hallazgo cuando la información de identificación personal PII se almacena en un bucket de amazon S3","Respuesta única","A Amazon GuardDuty","B Amazon Macie","C Amazon Inspector","D AWS Trusted Advisor","","false","true","false","false","false"
"Una empresa desea crear una aplicación de analisis que utilice Amazon Redshift. La empresa necesita una estimación de costos para su uso futuro de Amazon Redshift. que herramienta de AWS proporcionará una estimación de costos de alto nivel?","Respuesta única","A Presupuesto de AWS","B Calculadora de precios de AWS","C Explorador de costos de AWS","D Planes de ahorro","","false","true","false","false","false"
"Según el modelo de responsabilidad compartida de AWS  cuáles de las siguientes tareas son responsabilidades de AWS SELECCIONE DOS","Respuesta múltiple","A La seguridad física de las instalaciones de AWS","B Cifrado de datos de clientes","C Aplicacion de parches y actualizacion del hipervisor.","D Aplicacion de parches a sistemas operativos en amazon EC2","E Definicion de firewalls de red dentro de la VPC","true","false","true","false","false"
"Que servicios de AWS se puede utilizar para migrar una base de datos activa en las instalaciones a la nube de AWS","Respuesta única","A AWS Storage Gateway","B Servicio de migración de aplicaciones de AWS","C AWS DataSync","D Servicio de migración de base de datos de AWS (AWS DMS)","","false","false","false","true","false"
"cuáles son las características de los usuarios y grupos de AWS IAM. SELECCIONE DOS","Respuesta múltiple","A Los grupos se pueden anidar y pueden contener otros grupos.","B Un usuario puede ser miembro de varios grupos.","C los grupos solo pueden contener usuarios y no se pueden anidar","D un usuario solo puede ser miembro de un único grupo a la vez","E Todos los usuarios  nuevos se agregan automáticamente a un grupo predeterminado.","false","true","true","false","false"
"Qué servicio de AWS utiliza el aprendizaje automático para identificar datos confidenciales almacenados en buckets de Amazon S3.","Respuesta única","A Amazon Personalize","B Amazon Macie","C Nube de AWS9","D AWS CodeArtifact","","false","true","false","false","false"
"qué beneficios de AWS permite a los usuarios implementar una infraestructura en la nube que consta de varias regiones geográficas conectadas por una red con baja latencia  alto rendimiento y redundancia?","Respuesta única","A Economías de escala","B Seguridad","C Elasticidad","D Alcance Global","","false","false","false","true","false"
"Qué servicio de AWS puede ayudar a una empresa a detectar una interrupción de los servicios de su sitio web y redirigir a los usuarios a servidores alternativos?","Respuesta única","A Amazon CloudFront","B Amazon GuardDuty","C Amazon Route 53","D AWS Trusted Advisor","","false","false","true","false","false"
"un usuario tiene petabytes de datos para migrar a AWS desde un área donde no son posibles las conexiones de red de alta velocidad. qué servicio es la forma más rápida de transferir los datos?","Respuesta única","A Amazon S3","B Lote de AWS","C AWS Snowball Edge","D AWS VPN","","false","false","true","false","false"
"qué ´principios de diseño de la nube de aws pueden ayudar a aumentar la confiabilidad SELECCIONE DOS","Respuesta múltiple","A Uso de arquitectura monolítica","B Medición de la eficiencia general","C Prueba de procedimientos de recuperación","D Adoptar un modelo de consumo","E Recuperación automática de fallas","false","false","true","false","true"
"Una empresa tiene una aplicación web Java. La empresa desea utilizar la implementación automática para crear el entorno de AWS e implementar nuevas versiones de su aplicación. ¿Qué servicio de AWS cumplirá estos requisitos?","Respuesta única","A AWS Auto Scaling","B AWS Elastic Beanstalk","C Torre de control de AWS","D Amazon EC2","","false","true","false","false","false"
"Una empresa necesita ejecutar una aplicación en instancias Amazon EC2. La carga de trabajo en ejecución no se puede interrumpir. La empresa necesita una opción de compra de instancias que no requiere compromiso. ¿Qué opción de compra de instancias cumplirá estos requisitos de manera MÁS rentable?","Respuesta única","A Instancias bajo demanda","B Instancias puntuales","C Host dedicados","D Instancias reservadas","","true","false","false","false","false"
"Según el modelo de responsabilidad compartida de AWS ¿que tareas relacionadas ocn la seguridad son responsabilidad del cliente? SELECCIONE DOS","Respuesta múltiple","A Seguridad de las ubicaciones perimetrales","B cifrado de datos del lado del cliente","C seguridad de hardware en las regiones de AWS","D seguridad de red de infraestructura global de AWS","E integridad de los datos del cliente","false","true","false","false","true"
"Una empresa aloja una aplicación en una Amazon EC2. La instancia EC2 necesita obtener acceso a varios recursos de AWS  incluidos Amazon S3 y Amazon DynamoDB. Cual es la solución MAS eficiente desde el punto de vista operativo para delegar permisos?","Respuesta única","A Cree un rol de IAM con los permisos necesarios. Asocie el rol a la instancia EC2","B Cree un usuario de IAM y utilice su clave de acceso y clave de acceso secreta en la aplicación.","C cree un usuario de IAM y utilice su clave de acceso y clave de acceso secreta para crear un perfil de CLI en la instancia EC2","D Cree un rol de IAM con los permisos necesarios. Asocie el rol al usuario administrativo de IAM","","true","false","false","false","false"
"Una empresa necesita transferir 60TB de datos a la nube de AWS de forma segura. Cual de los siguientes debe utilizar la empresa para cumplir con estos requisitos?","Respuesta única","A AWS Snowball Edge","B Amazon Elastic Block Store (AMazon EBS)","C Amazon Elastic File (System (Amazon EFS)","D Amazon S3","","true","false","false","false","false"
"cuáles de las siguientes son las prácticas recomendadas de seguridad para utilizar AWS identity and Access Management IAM SELECCIONE DOS","Respuesta múltiple","A Utilice las credenciales de usuario rapiz de la cuenta de AWS para las tareas de IAM","B Rote las credenciales regularmente","C No quite las credenciales  incluso si nunca se utilizan","D Habilite la autenticación multifactor MFA","E Utilice políticas en línea en lugar de directivas administradas por el cliente","false","true","false","true","false"
"Cuál es una práctica recomendada de AWS para administrar un usuario raiz de una cuenta de AWS?","Respuesta única","A Comparta la contraseña de usuario root con el equipo de operaciones","B Active la autenticación multifactor MFA para el usuario raíz.","C cree una clave de acceso para el usuario root","D No gire la contraseña de usuario root","","false","true","false","false","false"
"Cuál de las siguientes ventajas es el uso de un servicio administrado por AWS?","Respuesta única","A Reducción de los gastos generales operativos para el personal de TI de una empresa","B Aumento de los costos fijos que pueden ser predichos por un equipo de finanzas","C Eliminación de la necesidad de tener una estrategia de copia de seguridad","D Eliminación de la necesidad de seguir las normas de cumplimiento","","true","false","false","false","false"
"Qué servicio puede utilizar un cliente para configurar una cuenta de pagador de administración para ver informes de facturación consolidados.","Respuesta única","A Presupuestos de AWS","B Amazon Macie","C Amazon QuickSight","D Organizaciones de AWS","","false","false","false","true","false"
"qué servicio informático de AWS no tiene servidor?","Respuesta única","A Amazon EC2","B AWS Lambda","C Amazon RDS","D Amazon Elastic Container Service (Amazon ECS)","","false","true","false","false","false"
"que plan de AWS Support incluye un administrador técnico de cuentas TAM de AWS designado?","Respuesta única","A Soporte empresarial de AWS","B Soporte para empresas de AWS","C Soporte básico de AWS","D Soporte para desarrolladores de AWS","","false","true","false","false","false"
"qué servicio de AWS proporciona una forma sencilla de configurar un nuevo entorno de AWS de varias cuentas y gobernarlo a escala?","Respuesta única","A AWS Trusted Advisor","B Centro de seguridad de AWS","C Torre de control de AWS","D Administrador de acceso a recursos de AWS","","false","false","true","false","false"
"una empresa tiene una aplicación sin estado que puede controlar las interrupciones. La aplicación debe estar disponible todo el día y la noche. El tráfico aumenta considerablemente durante el horario comercial ¿Qué tipos de instancias para el tráfico  base y pico son MÁS  rentables para cumplir con estos requisitos?","Respuesta única","A  Instancias reservadas para el tráfico base y pico","B Instancias reservadas para trafico base e instancias de subasta para tráfico máximo mediante una fota Amazon EC2","C Instancias bajo demanda para trafico base e instancias bajo demanda con escalado automático para tráfico pico","D Instancias bajo demanda para el tráfico base e instancias de subasta para el tráfico máximo mediante una flota de amazon EC2","","false","true","false","false","false"
